elapsed,action,code,ip_dst_addr,bytes,method,url
10042,TCP_TUNNEL,200,142.250.191.164,414,CONNECT,www.google.com:443
37350,TCP_TUNNEL,200,44.228.218.242,2560,CONNECT,console.us-west-1.cdp.cloudera.com:443
48932,TCP_TUNNEL,200,44.228.218.242,36623,CONNECT,console.us-west-1.cdp.cloudera.com:443
66234,TCP_TUNNEL,200,44.228.218.242,6239,CONNECT,console.us-west-1.cdp.cloudera.com:443
13965,TCP_TUNNEL,200,172.217.5.10,1388,CONNECT,fonts.googleapis.com:443
13960,TCP_TUNNEL,200,142.250.190.67,5506,CONNECT,fonts.gstatic.com:443
69134,TCP_TUNNEL,200,44.228.218.242,5743,CONNECT,console.us-west-1.cdp.cloudera.com:443
5314,TCP_TUNNEL,200,35.217.93.191,5169,CONNECT,e2c53.gcp.gvt2.com:443
60887,TCP_TUNNEL,200,172.217.0.163,5500,CONNECT,ssl.gstatic.com:443
84998,TCP_TUNNEL,200,44.228.218.242,5182,CONNECT,console.us-west-1.cdp.cloudera.com:443
20,TCP_MISS,301,151.101.3.5,791,GET,http://cnn.com/
13,TCP_MISS,301,151.101.147.5,787,GET,http://www.cnn.com/
38756,TCP_TUNNEL,200,44.228.218.242,2250,CONNECT,console.us-west-1.cdp.cloudera.com:443
22476,TCP_TUNNEL,200,44.228.218.242,1394,CONNECT,console.us-west-1.cdp.cloudera.com:443
96931,TCP_TUNNEL,200,44.228.218.242,23409,CONNECT,console.us-west-1.cdp.cloudera.com:443
330,TCP_TUNNEL,200,23.56.13.107,545,CONNECT,amplify.outbrain.com:443
33192,TCP_TUNNEL,200,142.250.190.67,5505,CONNECT,fonts.gstatic.com:443
79309,TCP_TUNNEL,200,172.217.4.74,2095,CONNECT,content-autofill.googleapis.com:443
81990,TCP_TUNNEL,200,34.107.204.85,1478,CONNECT,data.pendo.io:443
82632,TCP_TUNNEL,200,172.217.2.42,6582,CONNECT,cloudsearch.googleapis.com:443
79830,TCP_TUNNEL,200,142.250.190.42,9823,CONNECT,optimizationguide-pa.googleapis.com:443
79148,TCP_TUNNEL,200,172.217.1.110,24826,CONNECT,aa.google.com:443
78569,TCP_TUNNEL,200,142.250.191.238,7880,CONNECT,play.google.com:443
84696,TCP_TUNNEL,200,142.250.191.164,2668811,CONNECT,www.google.com:443
78946,TCP_TUNNEL,200,172.217.0.162,1889,CONNECT,adservice.google.com:443
79493,TCP_TUNNEL,200,172.217.5.3,750832,CONNECT,www.gstatic.com:443
675,TCP_TUNNEL,200,151.101.147.5,165501,CONNECT,www.cnn.com:443
78144,TCP_TUNNEL,200,172.217.0.161,127322,CONNECT,lh5.googleusercontent.com:443
453,TCP_TUNNEL,200,108.156.164.236,933,CONNECT,c.amazon-adsystem.com:443
79826,TCP_TUNNEL,200,172.217.0.163,6672,CONNECT,ssl.gstatic.com:443
10825,TCP_TUNNEL,200,142.250.191.131,6492,CONNECT,beacons.gvt2.com:443
62163,TCP_TUNNEL,200,142.250.190.51,6468,CONNECT,beacons.gcp.gvt2.com:443
48572,TCP_TUNNEL,200,142.250.191.142,2077,CONNECT,www.google-analytics.com:443
448,TCP_TUNNEL,200,96.17.53.199,999,CONNECT,lightning.cnn.com:443
82988,TCP_TUNNEL,200,3.222.33.104,2352,CONNECT,track.dictionary.com:443
65694,TCP_TUNNEL,200,142.250.190.37,51835,CONNECT,mail.google.com:443
84678,TCP_TUNNEL,200,35.186.194.58,2927,CONNECT,rs.fullstory.com:443
77870,TCP_TUNNEL,200,172.217.4.78,9095,CONNECT,google.com:443
92370,TCP_TUNNEL,200,142.250.191.202,11942,CONNECT,signaler-pa.clients6.google.com:443
72091,TCP_TUNNEL,200,172.217.1.110,23582,CONNECT,ogs.google.com:443
460,TCP_TUNNEL,200,151.101.147.5,793,CONNECT,registry.api.cnn.io:443
98722,TCP_TUNNEL,200,172.217.2.46,11374,CONNECT,clients4.google.com:443
78145,TCP_TUNNEL,200,172.217.2.46,261097,CONNECT,encrypted-tbn0.gstatic.com:443
151,TCP_TUNNEL,200,34.111.8.32,805,CONNECT,cnn.bounceexchange.com:443
701,TCP_TUNNEL,200,54.83.89.193,5875,CONNECT,logx.optimizely.com:443
289,TCP_TUNNEL,200,34.149.130.207,805,CONNECT,pd.cdnwidget.com:443
592,TCP_TUNNEL,200,50.31.142.191,4263,CONNECT,tr.outbrain.com:443
657,TCP_TUNNEL,200,50.31.142.191,4232,CONNECT,tr.outbrain.com:443
668,TCP_TUNNEL,200,151.101.147.5,27347,CONNECT,www.cnn.com:443
562,TCP_TUNNEL,200,34.205.207.190,5863,CONNECT,w.usabilla.com:443
562,TCP_TUNNEL,200,151.101.146.202,2400,CONNECT,mab.chartbeat.com:443
79124,TCP_TUNNEL,200,142.250.191.238,19172,CONNECT,play.google.com:443
747,TCP_TUNNEL,200,108.156.172.66,1536,CONNECT,mms.cnn.com:443
248,TCP_TUNNEL,200,172.217.4.34,1741,CONNECT,securepubads.g.doubleclick.net:443
215,TCP_TUNNEL,200,104.244.42.5,1067,CONNECT,t.co:443
704,TCP_TUNNEL,200,104.106.16.79,1104,CONNECT,a125375509.cdn.optimizely.com:443
685,TCP_TUNNEL,200,3.136.119.139,928,CONNECT,secure-us.imrworldwide.com:443
721,TCP_TUNNEL,200,34.120.253.250,1001,CONNECT,tag.bounceexchange.com:443
572,TCP_TUNNEL,200,108.156.184.109,833,CONNECT,sb.scorecardresearch.com:443
721,TCP_TUNNEL,200,151.101.144.157,513,CONNECT,static.ads-twitter.com:443
411,TCP_TUNNEL,200,151.101.147.5,918,CONNECT,data.cnn.com:443
721,TCP_TUNNEL,200,108.156.172.91,1935,CONNECT,live.rezync.com:443
278,TCP_TUNNEL,200,52.4.121.231,1714,CONNECT,jadserve.postrelease.com:443
215,TCP_TUNNEL,200,34.111.234.236,1519,CONNECT,ml314.com:443
685,TCP_TUNNEL,200,34.111.234.236,1051,CONNECT,cdn.ml314.com:443
721,TCP_TUNNEL,200,104.18.17.195,1115,CONNECT,www.dianomi.com:443
207,TCP_TUNNEL,200,34.98.72.95,1101,CONNECT,assets.bounceexchange.com:443
825,TCP_TUNNEL,200,142.250.191.130,28156,CONNECT,www.googletagservices.com:443
239,TCP_TUNNEL,200,96.17.53.199,34111,CONNECT,cdn.cnn.com:443
500,TCP_TUNNEL,200,108.156.184.70,36802,CONNECT,cdn.boomtrain.com:443
258,TCP_TUNNEL,200,3.231.143.24,4959,CONNECT,bea4.v.fwmrm.net:443
169,TCP_TUNNEL,200,108.156.184.23,481,CONNECT,static.adsafeprotected.com:443
234,TCP_TUNNEL,200,34.98.72.95,1005,CONNECT,assets.bounceexchange.com:443
1019,TCP_TUNNEL,200,96.17.53.199,2875,CONNECT,lightning.cnn.com:443
282,TCP_TUNNEL,200,108.156.171.7,917,CONNECT,d2uap9jskdzp2.cloudfront.net:443
181,TCP_TUNNEL,200,151.101.147.5,777,CONNECT,www.i.cdn.cnn.com:443
432,TCP_TUNNEL,200,96.17.53.199,83053,CONNECT,dynaimage.cdn.cnn.com:443
304,TCP_TUNNEL,200,151.101.146.133,484,CONNECT,cdn.krxd.net:443
377,TCP_TUNNEL,200,151.101.147.5,935,CONNECT,registry.api.cnn.io:443
616,TCP_TUNNEL,200,23.56.13.107,86185,CONNECT,widgets.outbrain.com:443
355,TCP_TUNNEL,200,108.156.172.123,1437,CONNECT,geo.ngtv.io:443
239,TCP_TUNNEL,200,104.26.6.139,7827,CONNECT,btloader.com:443
164,TCP_TUNNEL,200,23.48.209.26,1026,CONNECT,wmff.warnermediacdn.com:443
531,TCP_TUNNEL,200,104.244.42.3,1274,CONNECT,analytics.twitter.com:443
206,TCP_TUNNEL,200,35.211.165.199,5435,CONNECT,grid.bidswitch.net:443
423,TCP_TUNNEL,200,34.102.144.114,1082,CONNECT,data.cdnbasket.net:443
406,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
453,TCP_TUNNEL,200,34.149.80.61,1082,CONNECT,page.cdnbasket.net:443
474,TCP_TUNNEL,200,52.204.165.114,5970,CONNECT,people.api.boomtrain.com:443
488,TCP_TUNNEL,200,34.149.32.178,1082,CONNECT,view.cdnbasket.net:443
239,TCP_TUNNEL,200,52.45.167.75,5763,CONNECT,onsiterecs.api.boomtrain.com:443
173,TCP_TUNNEL,200,172.217.0.164,414,CONNECT,www.google.com:443
488,TCP_TUNNEL,200,38.133.127.63,4384,CONNECT,mcdp-sadc1.outbrain.com:443
634,TCP_TUNNEL,200,68.67.161.182,21473,CONNECT,ib.adnxs.com:443
324,TCP_TUNNEL,200,52.46.143.56,8310,CONNECT,s.amazon-adsystem.com:443
567,TCP_TUNNEL,200,151.101.146.133,484,CONNECT,cdn.krxd.net:443
764,TCP_TUNNEL,200,63.140.38.139,4174,CONNECT,smetrics.cnn.com:443
612,TCP_TUNNEL,200,34.98.72.95,1005,CONNECT,assets.bounceexchange.com:443
638,TCP_TUNNEL,200,23.48.209.26,1053,CONNECT,wmff.warnermediacdn.com:443
638,TCP_TUNNEL,200,172.217.4.198,2044,CONNECT,ad.doubleclick.net:443
880,TCP_TUNNEL,200,151.101.146.132,7445,CONNECT,odb.outbrain.com:443
227,TCP_TUNNEL,200,162.248.18.34,5035,CONNECT,image4.pubmatic.com:443
730,TCP_TUNNEL,200,52.54.58.37,7515,CONNECT,pixel.adsafeprotected.com:443
383,TCP_TUNNEL,200,130.211.23.194,1003,CONNECT,api.btloader.com:443
611,TCP_TUNNEL,200,34.98.72.95,1262,CONNECT,assets.bounceexchange.com:443
483,TCP_TUNNEL,200,8.28.7.82,5964,CONNECT,image8.pubmatic.com:443
662,TCP_TUNNEL,200,74.119.119.129,4482,CONNECT,bidder.criteo.com:443
638,TCP_TUNNEL,200,104.26.2.70,2109,CONNECT,ad-delivery.net:443
488,TCP_TUNNEL,200,34.160.169.226,3286,CONNECT,steadfastseat.com:443
391,TCP_TUNNEL,200,99.83.161.114,6112,CONNECT,receive.wmcdp.io:443
667,TCP_TUNNEL,200,69.173.151.97,12930,CONNECT,fastlane.rubiconproject.com:443
588,TCP_TUNNEL,200,34.107.191.194,1451,CONNECT,ids.cdnwidget.com:443
663,TCP_TUNNEL,200,54.173.193.223,5905,CONNECT,umto.cnn.com:443
392,TCP_TUNNEL,200,13.248.140.122,646,CONNECT,collector.cdp.cnn.com:443
667,TCP_TUNNEL,200,104.18.25.185,7706,CONNECT,htlb.casalemedia.com:443
566,TCP_TUNNEL,200,13.248.140.122,5908,CONNECT,collector.cdp.cnn.com:443
945,TCP_TUNNEL,200,108.156.187.204,2482,CONNECT,aax.amazon-adsystem.com:443
422,TCP_TUNNEL,200,173.222.111.174,1295,CONNECT,lightning.warnermediacdn.com:443
747,TCP_TUNNEL,200,34.95.69.49,1188,CONNECT,i.clean.gg:443
622,TCP_TUNNEL,200,54.162.99.34,6724,CONNECT,api.zetaglobal.net:443
1068,TCP_TUNNEL,200,162.19.138.83,7868,CONNECT,id5-sync.com:443
491,TCP_TUNNEL,200,184.31.207.200,978,CONNECT,li.cnn.com:443
904,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
912,TCP_TUNNEL,200,35.207.10.239,5570,CONNECT,ssp.behave.com:443
1348,TCP_TUNNEL,200,52.46.143.56,1192,CONNECT,s.amazon-adsystem.com:443
686,TCP_TUNNEL,200,35.211.178.172,5708,CONNECT,x.bidswitch.net:443
1535,TCP_TUNNEL,200,50.31.142.191,4183,CONNECT,sync.outbrain.com:443
353,TCP_TUNNEL,200,44.228.218.242,5509,CONNECT,console.us-west-1.cdp.cloudera.com:443
400,TCP_TUNNEL,200,173.222.111.174,2019,CONNECT,medium.ngtv.io:443
145,TCP_TUNNEL,200,108.156.184.119,10034,CONNECT,ib.3lift.com:443
760,TCP_TUNNEL,200,52.54.58.37,867,CONNECT,pixel.adsafeprotected.com:443
581,TCP_TUNNEL,200,74.119.119.150,4324,CONNECT,dis.criteo.com:443
1082,TCP_TUNNEL,200,34.111.8.32,1167,CONNECT,contextual-analytics.wunderkind.co:443
1932,TCP_TUNNEL,200,34.111.8.32,6705,CONNECT,cnn.bounceexchange.com:443
948,TCP_TUNNEL,200,151.101.147.5,2414,CONNECT,fave.api.cnn.io:443
755,TCP_TUNNEL,200,108.156.187.204,1073,CONNECT,aax.amazon-adsystem.com:443
695,TCP_TUNNEL,200,142.250.191.162,10183,CONNECT,pagead2.googlesyndication.com:443
910,TCP_TUNNEL,200,3.232.126.128,6340,CONNECT,rp.liadm.com:443
1118,TCP_TUNNEL,200,173.222.111.174,1006,CONNECT,lightning.warnermediacdn.com:443
2269,TCP_TUNNEL,200,151.101.147.5,1023341,CONNECT,registry.api.cnn.io:443
1687,TCP_TUNNEL,200,142.251.32.1,9126,CONNECT,43287cc2543376936b1d34ff39a949af.safeframe.googlesyndication.com:443
1720,TCP_TUNNEL,200,172.217.2.34,2173,CONNECT,adservice.google.com:443
1112,TCP_TUNNEL,200,34.149.130.207,975,CONNECT,idr.cdnwidget.com:443
1720,TCP_TUNNEL,200,3.225.218.10,7186,CONNECT,ups.analytics.yahoo.com:443
1072,TCP_TUNNEL,200,34.98.72.95,1020,CONNECT,assets.bounceexchange.com:443
1687,TCP_TUNNEL,200,172.217.4.34,37784,CONNECT,securepubads.g.doubleclick.net:443
1113,TCP_TUNNEL,200,34.111.8.32,1947,CONNECT,events.bouncex.net:443
1720,TCP_TUNNEL,200,20.127.253.7,8600,CONNECT,sync.inmobi.com:443
401,TCP_TUNNEL,200,13.248.140.122,6067,CONNECT,collector.cdp.cnn.com:443
461,TCP_TUNNEL,200,52.54.58.37,6388,CONNECT,pixel.adsafeprotected.com:443
327,TCP_TUNNEL,200,52.223.18.66,7425,CONNECT,services.brightline.tv:443
214,TCP_TUNNEL,200,34.111.8.32,1147,CONNECT,dfp.bouncex.net:443
407,TCP_TUNNEL,200,172.217.0.164,5920,CONNECT,www.google.com:443
199,TCP_TUNNEL,200,34.111.8.32,1220,CONNECT,events.bouncex.net:443
231,TCP_TUNNEL,200,50.116.194.21,5033,CONNECT,ad.turn.com:443
237,TCP_TUNNEL,200,35.207.24.140,1581,CONNECT,rtb.mfadsrvr.com:443
237,TCP_TUNNEL,200,185.167.164.37,5967,CONNECT,c1.adform.net:443
260,TCP_TUNNEL,200,108.156.184.119,72319,CONNECT,ib.3lift.com:443
407,TCP_TUNNEL,200,172.217.4.194,40305,CONNECT,googleads.g.doubleclick.net:443
407,TCP_TUNNEL,200,34.236.0.77,5971,CONNECT,tlx.3lift.com:443
988,TCP_TUNNEL,200,142.250.191.162,2720,CONNECT,pagead2.googlesyndication.com:443
407,TCP_TUNNEL,200,52.223.22.214,5890,CONNECT,eb2.3lift.com:443
451,TCP_TUNNEL,200,142.250.191.193,77346,CONNECT,tpc.googlesyndication.com:443
237,TCP_TUNNEL,200,3.223.177.228,6639,CONNECT,fksnk.com:443
778,TCP_TUNNEL,200,199.127.193.108,5921,CONNECT,a6709203f34992a5095d2bc7ceaf2ec504f651a8.cws.conviva.com:443
823,TCP_TUNNEL,200,70.42.32.63,5589,CONNECT,b1sync.zemanta.com:443
187,TCP_TUNNEL,200,52.0.139.145,5109,CONNECT,beacon.krxd.net:443
594,TCP_TUNNEL,200,108.156.184.52,2280,CONNECT,d.agkn.com:443
459,TCP_TUNNEL,200,192.184.69.201,938,CONNECT,cms.quantserve.com:443
594,TCP_TUNNEL,200,108.156.184.82,924,CONNECT,pix.pub:443
569,TCP_TUNNEL,200,3.33.250.219,4717,CONNECT,events.brightline.tv:443
459,TCP_TUNNEL,200,3.216.1.77,6458,CONNECT,sync.srv.stackadapt.com:443
306,TCP_TUNNEL,200,142.250.191.162,1825,CONNECT,pagead2.googlesyndication.com:443
384,TCP_TUNNEL,200,50.116.194.21,4959,CONNECT,r.turn.com:443
594,TCP_TUNNEL,200,151.101.146.132,855,CONNECT,pi.ispot.tv:443
492,TCP_TUNNEL,200,108.156.184.71,7903,CONNECT,img.3lift.com:443
491,TCP_TUNNEL,200,108.156.184.119,9839,CONNECT,ib.3lift.com:443
599,TCP_TUNNEL,200,142.250.190.130,2209,CONNECT,googleads4.g.doubleclick.net:443
558,TCP_TUNNEL,200,172.217.4.34,2140,CONNECT,securepubads.g.doubleclick.net:443
815,TCP_TUNNEL,200,35.227.229.24,1272,CONNECT,licensing.bitmovin.com:443
384,TCP_TUNNEL,200,34.111.8.32,1565,CONNECT,events.bouncex.net:443
452,TCP_TUNNEL,200,35.207.24.140,1537,CONNECT,rtb.mfadsrvr.com:443
809,TCP_TUNNEL,200,34.111.8.32,6523,CONNECT,cnn.bounceexchange.com:443
562,TCP_TUNNEL,200,54.160.31.143,6257,CONNECT,partners.tremorhub.com:443
684,TCP_TUNNEL,200,184.85.237.48,7296,CONNECT,sync.teads.tv:443
163,TCP_TUNNEL,200,52.46.143.56,1100,CONNECT,s.amazon-adsystem.com:443
441,TCP_TUNNEL,200,68.67.161.182,3760,CONNECT,ib.adnxs.com:443
278,TCP_TUNNEL,200,8.251.185.252,618,CONNECT,clips-media-ctl.warnermediacdn.com:443
534,TCP_TUNNEL,200,8.251.185.252,8082,CONNECT,clips-media-ctl.warnermediacdn.com:443
545,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
1098,TCP_TUNNEL,200,51.222.39.186,1181,CONNECT,onetag-sys.com:443
1162,TCP_TUNNEL,200,52.223.22.214,11815,CONNECT,eb2.3lift.com:443
244,TCP_TUNNEL,200,74.119.119.139,4309,CONNECT,gum.criteo.com:443
1483,TCP_TUNNEL,200,23.3.13.138,22746,CONNECT,clips-manifests-ctl.warnermediacdn.com:443
524,TCP_TUNNEL,200,34.111.8.32,11141,CONNECT,cnn.bounceexchange.com:443
518,TCP_TUNNEL,200,34.111.8.32,1920,CONNECT,events.bouncex.net:443
604,TCP_TUNNEL,200,13.107.42.14,5307,CONNECT,px.ads.linkedin.com:443
1473,TCP_TUNNEL,200,142.250.191.194,8672,CONNECT,cm.g.doubleclick.net:443
441,TCP_TUNNEL,200,74.119.119.139,770,CONNECT,gum.criteo.com:443
1477,TCP_TUNNEL,200,35.211.178.172,7090,CONNECT,x.bidswitch.net:443
530,TCP_TUNNEL,200,74.119.119.150,720,CONNECT,dis.criteo.com:443
606,TCP_TUNNEL,200,34.202.153.158,6801,CONNECT,pr-bh.ybp.yahoo.com:443
356,TCP_TUNNEL,200,142.250.191.162,1955,CONNECT,pagead2.googlesyndication.com:443
492,TCP_TUNNEL,200,151.101.145.108,3542,CONNECT,acdn.adnxs.com:443
258,TCP_TUNNEL,200,68.67.161.182,2102,CONNECT,ib.adnxs.com:443
500,TCP_TUNNEL,200,192.40.36.238,7015,CONNECT,dsum-sec.casalemedia.com:443
140,TCP_TUNNEL,200,68.67.161.182,195,CONNECT,ib.adnxs.com:443
310,TCP_TUNNEL,200,68.67.153.61,8675,CONNECT,prebid.adnxs.com:443
511,TCP_TUNNEL,200,69.173.151.100,4300,CONNECT,pixel.rubiconproject.com:443
333,TCP_TUNNEL,200,52.46.143.56,1060,CONNECT,s.amazon-adsystem.com:443
355,TCP_TUNNEL,200,35.207.10.239,5661,CONNECT,ssp.behave.com:443
556,TCP_TUNNEL,200,192.40.36.238,8572,CONNECT,ssum-sec.casalemedia.com:443
517,TCP_TUNNEL,200,216.200.232.249,4210,CONNECT,sync.mathtag.com:443
529,TCP_TUNNEL,200,34.232.29.238,6198,CONNECT,sync.crwdcntrl.net:443
339,TCP_TUNNEL,200,142.250.191.194,2382,CONNECT,cm.g.doubleclick.net:443
523,TCP_TUNNEL,200,34.98.64.218,1214,CONNECT,us-u.openx.net:443
427,TCP_TUNNEL,200,172.217.4.198,1959,CONNECT,ad.doubleclick.net:443
524,TCP_TUNNEL,200,192.184.69.201,840,CONNECT,cms.quantserve.com:443
523,TCP_TUNNEL,200,50.116.194.21,4963,CONNECT,ad.turn.com:443
360,TCP_TUNNEL,200,104.18.24.185,1458,CONNECT,as-sec.casalemedia.com:443
361,TCP_TUNNEL,200,104.36.115.111,431,CONNECT,hbopenbid.pubmatic.com:443
1010,TCP_TUNNEL,200,13.107.21.200,8068,CONNECT,c.bing.com:443
344,TCP_TUNNEL,200,34.202.153.158,973,CONNECT,pr-bh.ybp.yahoo.com:443
65,TCP_TUNNEL,200,3.14.96.124,5457,CONNECT,atom.warnermedia.com:443
103,TCP_TUNNEL,200,23.23.250.92,5711,CONNECT,unified.adsafeprotected.com:443
1196,TCP_TUNNEL,200,8.251.185.252,1527198,CONNECT,clips-media-ctl.warnermediacdn.com:443
493,TCP_TUNNEL,200,68.67.161.182,10374,CONNECT,ib.adnxs.com:443
239,TCP_TUNNEL,200,3.231.143.24,4751,CONNECT,bea4.v.fwmrm.net:443
62,TCP_MISS,200,23.40.62.25,1771,GET,http://aia.entrust.net/l1m-chain256.cer
357,TCP_TUNNEL,200,199.127.193.108,5923,CONNECT,a6709203f34992a5095d2bc7ceaf2ec504f651a8.cws.conviva.com:443
406,TCP_TUNNEL,200,3.231.143.24,4977,CONNECT,bea4.v.fwmrm.net:443
400,TCP_TUNNEL,200,23.56.99.67,3919,CONNECT,measure.chase.com:443
196,TCP_TUNNEL,200,8.2.111.39,6813,CONNECT,ssp-cookie.logan.ai:443
457,TCP_TUNNEL,200,199.250.166.129,6224,CONNECT,vae-bid.adsrvr.org:443
584,TCP_TUNNEL,200,3.14.96.124,5939,CONNECT,atom.warnermedia.com:443
450,TCP_TUNNEL,200,52.54.58.37,13443,CONNECT,pixel.adsafeprotected.com:443
578,TCP_TUNNEL,200,52.223.40.198,4714,CONNECT,insight.adsrvr.org:443
559,TCP_TUNNEL,200,142.250.190.130,2241,CONNECT,googleads4.g.doubleclick.net:443
405,TCP_TUNNEL,200,63.140.38.139,4175,CONNECT,smetrics.cnn.com:443
559,TCP_TUNNEL,200,108.156.171.4,6766,CONNECT,dh0c1bz67fuho.cloudfront.net:443
628,TCP_TUNNEL,200,34.111.8.32,1735,CONNECT,events.bouncex.net:443
583,TCP_TUNNEL,200,23.23.250.92,6568,CONNECT,unified.adsafeprotected.com:443
309,TCP_TUNNEL,200,172.217.0.162,6265,CONNECT,ade.googlesyndication.com:443
527,TCP_TUNNEL,200,108.156.184.109,929,CONNECT,sb.scorecardresearch.com:443
515,TCP_TUNNEL,200,13.248.140.122,6067,CONNECT,collector.cdp.cnn.com:443
968,TCP_TUNNEL,200,74.119.119.129,878,CONNECT,bidder.criteo.com:443
354,TCP_TUNNEL,200,35.163.122.238,5986,CONNECT,dt.adsafeprotected.com:443
405,TCP_TUNNEL,200,23.3.13.138,26662,CONNECT,turnip.cdn.turner.com:443
847,TCP_TUNNEL,200,35.227.229.24,1138,CONNECT,licensing.bitmovin.com:443
354,TCP_TUNNEL,200,52.54.58.37,487,CONNECT,pixel.adsafeprotected.com:443
639,TCP_TUNNEL,200,147.28.129.37,5337,CONNECT,prebid.a-mo.net:443
560,TCP_TUNNEL,200,108.156.187.204,1094,CONNECT,aax.amazon-adsystem.com:443
361,TCP_TUNNEL,200,70.42.32.63,4913,CONNECT,b1sync.zemanta.com:443
775,TCP_TUNNEL,200,8.251.185.252,288348,CONNECT,clips-media-ctl.warnermediacdn.com:443
785,TCP_TUNNEL,200,68.67.161.182,13441,CONNECT,ib.adnxs.com:443
209,TCP_TUNNEL,200,3.231.143.24,4884,CONNECT,bea4.v.fwmrm.net:443
771,TCP_TUNNEL,200,68.67.161.182,6619,CONNECT,ib.adnxs.com:443
535,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
847,TCP_TUNNEL,200,23.23.35.108,5811,CONNECT,match.prod.bidr.io:443
321,TCP_TUNNEL,200,108.156.184.41,863,CONNECT,segments.company-target.com:443
864,TCP_TUNNEL,200,54.210.150.141,6126,CONNECT,sync.extend.tv:443
230,TCP_TUNNEL,200,70.42.32.63,4381,CONNECT,b1sync.zemanta.com:443
3152,TCP_TUNNEL,200,143.244.208.184,39,CONNECT,sid.storygize.net:443
1019,TCP_TUNNEL,200,8.251.185.252,804951,CONNECT,clips-media-ctl.warnermediacdn.com:443
1019,TCP_TUNNEL,200,68.67.161.182,1238,CONNECT,ib.adnxs.com:443
1080,TCP_TUNNEL,200,68.67.178.10,5171,CONNECT,secure.adnxs.com:443
4256,TCP_TUNNEL,200,152.199.24.163,6850789,CONNECT,dms.licdn.com:443
1793,TCP_TUNNEL,200,35.190.60.146,3956,CONNECT,idsync.rlcdn.com:443
2070,TCP_TUNNEL,200,15.235.42.102,4749,CONNECT,wt.rqtrk.eu:443
2254,TCP_TUNNEL,200,35.163.122.238,6532,CONNECT,dt.adsafeprotected.com:443
2017,TCP_TUNNEL,200,108.156.184.98,12121,CONNECT,js.adscale.de:443
1782,TCP_TUNNEL,200,173.222.111.53,1175,CONNECT,stags.bluekai.com:443
2071,TCP_TUNNEL,200,183.79.248.124,8617,CONNECT,cksync.yahoo.co.jp:443
1166,TCP_TUNNEL,200,34.111.8.32,1772,CONNECT,events.bouncex.net:443
2061,TCP_TUNNEL,200,151.101.146.49,5337,CONNECT,sync-tm.everesttech.net:443
1425,TCP_TUNNEL,200,172.217.0.162,1940,CONNECT,ade.googlesyndication.com:443
1704,TCP_TUNNEL,200,212.77.99.29,4981,CONNECT,ssp.wp.pl:443
1670,TCP_TUNNEL,200,52.223.40.198,4585,CONNECT,insight.adsrvr.org:443
2070,TCP_TUNNEL,200,8.28.7.83,5103,CONNECT,simage2.pubmatic.com:443
1680,TCP_TUNNEL,200,99.83.181.31,476,CONNECT,signal-metrics-collector-beta.s-onetag.com:443
1166,TCP_TUNNEL,200,34.111.8.32,10946,CONNECT,cnn.bounceexchange.com:443
1665,TCP_TUNNEL,200,13.248.140.122,6067,CONNECT,collector.cdp.cnn.com:443
